autor,título_traducido,lengua,traductor,ciudad,lat,long,editorial,país,año,edición,páginas,título_original,lengua_original
"Borges, Jorge Luis", Essai sur les littératures médiévales germaniques ,French  ," Maxence, Michel ", Paris,48.8534,2.3488, C. Bourgois ,France,1998,2, 197 p, couv ill  Medievales literaturas germánicas ,Spanish 
"Borges, Jorge Luis", Histoire universelle de l'infamie ,French  ," Jimenez, Édouard ", Paris,48.8534,2.3488, Pocket ,France,1998,2, 186 p, couv ill en coul (Éd.) bilingue espagnol-français,Spanish 
"Borges, Jorge Luis"," Jorge Luis Borges válogatott muvei (1. ) A halál és az iránytu, elbeszélések ",Hungarian  ," Benczik, Vilmos ", Budapest,47.49801,19.03991, Európa ,Hungary,1998,1, 338  (7) p,  (4) t ill,Spanish 
"Borges, Jorge Luis; (Felici, Glauco)", Elogio dell'ombra ,Italian  ," Di Giovanni, Norman Thomas; Tentori Montalto, Francesco ", Torino,45.116177,7.742615, Einaudi ,Italy,1998,4, XIV  213 p, Elogio de la sombra ,Spanish 
"Guerrero, Margarita; Borges, Jorge Luis", Manuale di zoologia fantastica ,Italian  ," Felici, Glauco; Lucentini, Franco ", Torino,45.116177,7.742615, Einaudi ,Italy,1998,4, VIII  183 p, Manual de zoología fantástica ,Spanish 
"Borges, Jorge Luis", Powszechna historia nikczemnosci ,Polish  ," Sobol-Jurczykowski, Andrzej; Zembrzuski, Stanislaw ", Warszawa,52.22977,21.01178, Prószynski i S-ka ,Poland,1998,2, 115 p, Historia universal de la infamia ,Spanish 
"Borges, Jorge Luis", De Aleph en andere verhalen ,Dutch  ," Pol, Barber van de ", Amsterdam,52.379189,4.899431, De Bezige Bij ,Netherlands,1998,2, 433 p ,,Spanish 
"Borges, Jorge Luis", Het verslag van Brodie en andere verhalen ,Dutch  ," Sabarte Belacortu, Mariolein ", Amsterdam,52.379189,4.899431, De Bezige Bij ,Netherlands,1998,2, 550 p ill ,,Spanish 
"Borges, Jorge Luis", Frumusetea ca senzatie fizica ,Romanian  ," Pop, Valeriu ", Bucuresti,44.43225,26.10626, Paideia ,Romania,1998,1, 258 p, ,Spanish 
"Borges, Jorge Luis", Collected fictions ,English  ," Hurley, Andrew ", New York,40.7808,-73.9772, Viking ,United States of America,1998,1, 565 p, ,Spanish 
"Borges, Jorge Luis", Ipuin hautatuak ,Basque  ," Garzia Garmendia, Juan ", Euba,43.1833,-2.6833, Ibaizabal ,Spain,1998,1, 248 p, ,Spanish 
"Borges, Jorge Luis", Bidyonot ,Hebrew  ," Bronovsky, Yoram ", Bene Berak,32.083333 ,34.83333, Hakibbutz Hameuchad ,Israel,1998,1, 168 p, Ficciones ,Spanish 
"Borges, Jorge Luis", Testi prigionieri ,Italian  ," Daverio, Maia; Scarano, Tommaso ", Milano,45.46427,9.18951, Adelphi ,Italy,1998,4, 366 p, Textos cautivos ,Spanish 
"Borges, Jorge Luis", L'Aleph ,Italian  ," Tentori Montalto, Francesco ", Milano,45.46427,9.18951, Adelphi ,Italy,1998,4, 171 p, El Aleph ,Spanish 
"Bioy Casares, Adolfo; Borges, Jorge Luis", Boruhesu kaikitansyu ,Japanese  , Yanase Naoki , Tokyo,35.6895,139.69171, Syôbunsya ,Japan,1998,3, 165 p, Cuentos breves y extra-ordinarios !! ,Spanish 
"Borges, Jorge Luis", Boruhesu sisyu ,Japanese  , Tuzumi Tadasi , Tokyo,35.6895,139.69171, Sityôsya ,Japan,1998,3, 189 p, ,Spanish 
"Guerrero, Margarita; Borges, Jorge Luis", Genzyu ziten ,Japanese  , Yanase Naoki , Tokyo,35.6895,139.69171, Syôbunsya ,Japan,1998,3, 261  8 p, El libro de los seres imaginarios ,Spanish 
"Borges, Jorge Luis", Bogen af sand ,Danish  ," Søndergaard, Morten ", Kbh.,55.67594,12.56553, Gyldendal ,Denmark,1998,4, 134 p, El libro de arena ,Spanish 
"Borges, Jorge Luis", Fiktioner ,Danish  ," Poulsen, Peter ", Kbh.,55.67594,12.56553, Samlerens Bogklub ,Denmark,1998,4, 203 p, Ficciones ,Spanish 
"Borges, Jorge Luis", Bogen af sand ,Danish  ," Søndergaard, Morten ", Kbh.,55.67594,12.56553, Samlerens Bogklub ,Denmark,1998,4, 134 p, El libro de arena ,Spanish 
"Borges, Jorge Luis", Fiktioner ,Danish  ," Poulsen, Peter ", Kbh.,55.67594,12.56553, Gyldendal ,Denmark,1998,4, 203 p,2 ed 1  oplag Ficciones ,Spanish 
"Borges, Jorge Luis", Twórca ,Polish  ," Chadzynska, Zofia; Rodowska, Krystyna ", Warszawa,52.22977,21.01178, Prószynski i S-ka ,Poland,1998,2, 119 p, El hacedor ,Spanish 
"Borges, Jorge Luis", Peilin edessä ja takana runoja vuosilta 1923-1985 ,Finnish  ," Saaritsa, Pentti "," Porvoo, Helsinki, Juva",60.39233,25.66507, WSOY ,Finland,1998,1,148,1 s,Spanish 
"Borges, Jorge Luis", Khurkhi Luwis Burkhis mukhtarat min shirih ,Arabic  ," ?ilmi, ?asan ", Al-Qahirah,30.044420,31.235712, Dar Sharqiyat lil-Nashr wa al-Tawzi ,Egypt,1998,1, 223p,,Spanish 
"Borges, Jorge Luis", Biblioteket i Babel en antologi sammanställd ur novellsamlingarna Ficciones och El Aleph ,Swedish  ," Axelsson, Sun; Torres, Marina ", Stockholm,59.33258,18.0649, Bonnier ,Sweden,1998,1, 154 s,Ny utg. ,Spanish 
"Borges, Jorge Luis", Collected fictions ,English  ," Hurley, Andrew ", London,51.509865,-0.118092, Allen Lane ,United Kingdom,1998,1, ix  565 p,Short stories ,Spanish 
"Borges, Jorge Luis", Aleph ,Croatian  ," Goldstein, Albert; Grcic, Marko; Telecan, Milivoj ", Zagreb,45.815399,15.966568, Zagrebacka naklada ,Croatia,1999,1, 188 str, El Aleph ,Spanish 
"Borges, Jorge Luis", Vavilonskaja biblioteka ,Russian  ," Bylinkina, M. ", Rostov na Donu,47.23135,39.72328, Feniks ,Russian Federation,1999,2,408,  (2) s,Spanish 
"Borges, Jorge Luis", Kniga vymyšlennyh sušcestv ,Russian  ," Lysenko, E. M. ", Sankt-Peterburg,59.93863,30.31413, Azbuka ,Russian Federation,1999,2,190,  (1) s,Spanish 
"Borges, Jorge Luis", Kitab al-ramal ,Arabic  ," Al-Ghanami, Said ", ?Amman,31.95522,35.94503, Dar Azminah lil-Nashr wal-Tawzi ,Jordan,1999,1, 87 p, El libro de arena ,Spanish 
"Burgin, Richard; Borges, Jorge Luis", Goftgo ba Burkhes ,"Farsi, Western; Persian  "," Birjandeh, Ma?mud F. ", Tehran,35.69439,51.42151, Tantis ,"Iran, Islamic Rep.",1999,3, 126 p, Conversations with Luis Borges ,English 
